Date,AGG,SPY,PE,NPI
2018-12-31,2.1061637347541797,-13.532092217033439,3.0,1.68
2019-03-31,2.9355251196934598,13.526037326581818,3.5,1.58
2019-06-30,2.82402238248666,4.22861497236162,3.8,1.6
2019-09-30,2.33936966234589,1.7544004989987898,4.5,1.62
2019-12-31,0.12662793099189,8.9876064598114,5.0,1.64
2020-03-31,3.09986273925439,-19.44769277138747,-1.5,0.85
2020-06-30,3.07807919067526,20.16173894742428,-5.5,-1.0
2020-09-30,0.4008423539751,9.038341980019709,6.5,0.45
2020-12-31,0.7279816291542299,12.11851081430595,10.8,0.95
2021-03-31,-3.3718858801461105,6.35179777133994,8.5,2.1
2021-06-30,1.7729905636095298,8.35930771227795,12.5,3.8
2021-09-30,-0.011626427207370001,0.5734989002193299,13.8,5.2
2021-12-31,-0.09753645658658,11.06598215223224,10.5,6.1
2022-03-31,-5.84577688893405,-4.61448291786175,1.5,3.2
2022-06-30,-4.57953824035227,-16.11025244167385,-5.2,2.0
2022-09-30,-4.70233362350828,-4.931159559381,-2.8,0.3
2022-12-31,1.5891939665383998,7.56091684408812,-1.8,-1.8
2023-03-31,3.2322600287103502,7.4582373768173005,0.5,-1.1
2023-06-30,-0.94149014833755,8.68036988415499,1.5,-0.85
2023-09-30,-3.2194156765653204,-3.2241728321145,2.2,-0.55
2023-12-31,6.7568518621689195,11.63962613022837,1.8,-0.35
